Time,BIS/EEG1_WAV
0.0,
0.0078125,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,16.25
,28.8
,13.0
,22.55
,20.3
,16.95
,20.0
,19.7
,16.75
,22.65
,15.8
,22.1
,17.1
,19.9
,20.8
,14.8
,25.8
,10.05
,29.1
,8.35
,28.9
,12.5
,26.45
,19.2
,23.45
,18.9
,19.6
,19.2
,18.95
,19.7
,20.1
,19.75
,19.2
,19.35
,19.4
,19.05
,19.25
,19.15
,18.55
,18.6
,19.1
,19.3
,19.3
,19.85
,20.15
,19.8
,19.25
,19.8
,19.3
,18.55
,19.25
,19.45
,19.45
,19.6
,19.5
,19.3
,19.15
,18.8
,19.0
,19.45
,19.0
,18.95
,19.4
,19.2
,19.1
,19.45
,19.4
,19.25
,19.25
,18.85
,18.95
,19.5
,19.6
,19.8
,19.3
,18.85
,19.25
,18.85
,18.75
,19.4
,19.0
,18.5
,19.15
,18.75
,19.0
,19.9
,19.2
,18.9
,19.5
,19.95
,16.55
,17.15
,18.1
,13.3
,18.4
,18.15
,8.75
,32.25
,2.95
,33.45
,10.5
,21.8
,19.3
,19.2
,14.8
,24.5
,15.15
,15.75
,31.9
,5.2
,26.7
,28.35
,-6.1
,51.95
,-6.05
,17.7
,50.3
,-34.2
,60.95
,37.9
,-866.0
,-1452.4
,-1339.55
,-1334.3
,-1380.4
,-1350.1
,-1167.85
,-527.65
,-83.1
,-265.45
,-241.85
,-204.0
,-334.8
,-320.55
,-319.5
,-253.8
,-107.9
,188.2
,235.7
,330.4
,222.85
,300.95
,186.05
,261.4
,195.5
,266.2
,111.1
,160.1
,15.95
,-1.3
,-105.25
,-170.85
,-227.75
,-274.2
,-210.4
,-226.1
,-113.5
,-117.3
,-13.1
,-55.7
,17.75
,-34.85
,38.7
,83.6
,156.4
,178.4
,173.25
,168.0
,82.55
,81.15
,-2.8
,33.55
,-66.3
,2.4
,-46.35
,30.2
,-22.9
,-23.9
,-149.25
,-111.45
,-104.1
,-108.7
,-34.95
,20.1
,80.15
,61.85
,120.9
,79.75
,188.6
,107.65
,126.9
,41.2
,89.75
,69.55
,125.95
,53.1
,23.8
,-36.95
,-108.95
,-110.6
,-166.7
,-176.4
,-219.4
,-82.3
,-66.1
,73.6
,53.55
,109.4
,31.1
,87.5
,53.95
,90.1
,53.5
,38.15
,24.0
,-4.5
,44.8
,35.5
,116.15
,73.6
,121.0
,-7.25
,37.25
,-9.85
,56.45
,-30.8
,2.25
,-41.3
,-16.1
,-57.85
,-72.95
,-39.6
,-57.95
,-44.2
,-117.7
,-62.8
,-86.65
,18.55
,-14.4
,87.0
,48.6
,122.7
,119.25
,170.15
,160.45
,171.7
,145.95
,154.0
,270.4
,151.6
,84.8
,0.3
,53.45
,-43.3
,35.85
,-40.3
,39.55
,13.35
,60.6
,9.85
,31.15
,7.1
,19.95
,53.15
,17.9
,36.1
,-30.9
,33.15
,-34.05
,30.45
,-31.05
,64.3
,23.2
,77.85
,22.4
,44.0
,16.15
,39.65
,53.65
,31.05
,47.4
,1.05
,47.3
,-22.6
,31.0
,-35.3
,49.7
,-3.55
,73.1
,18.7
,57.6
,15.7
,49.45
,41.65
,30.05
,35.4
,3.5
,38.15
,-23.05
,28.1
,-42.65
,32.95
,-19.8
,67.8
,10.2
,75.6
,30.35
,68.05
,36.85
,44.8
,38.8
,20.35
,38.15
,-11.95
,25.9
,-45.65
,11.45
,-53.1
,18.75
,-44.4
,31.2
,-17.3
,39.4
,8.5
,38.0
,26.7
,40.95
,68.9
,54.0
,94.65
,49.0
,99.5
,27.05
,82.1
,-3.7
,47.4
,-16.6
,35.1
,-35.6
,-12.65
,-48.9
,-41.8
,-40.35
,-40.45
,-4.6
,-27.0
,38.9
,0.35
,74.05
,18.25
,99.6
,45.75
,116.75
,66.35
,109.25
,69.0
,80.45
,50.65
,39.6
,32.45
,-4.2
,22.4
,-36.75
,15.6
,-59.65
,-1.35
,-73.5
,-6.8
,-68.05
,10.5
,-35.65
,33.0
,18.9
,44.25
,74.35
,55.25
,-8.1
,8.85
,141.45
,72.85
,120.85
,58.95
,87.0
,-5.4
,48.9
,-38.3
,-1.7
,-59.95
,-42.05
,-64.0
,-65.6
,-47.2
,-54.9
,-5.55
,-25.7
,53.9
,7.8
,97.6
,45.5
,134.25
,68.2
,138.3
,79.15
,122.3
,74.0
,83.2
,52.5
,22.8
,24.45
,-20.45
,11.0
,-56.3
,0.45
,-69.1
,1.4
,-65.25
,10.6
,-41.85
,29.65
,0.25
,50.2
