Time,BIS/EEG2_WAV
0.0,
0.0078125,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,2.95
,-8.15
,1.0
,-2.25
,-2.25
,4.85
,-4.75
,-9.85
,12.6
,2.7
,-6.25
,-1.55
,6.7
,-10.15
,2.75
,3.35
,-6.8
,2.15
,10.95
,-7.7
,-1.75
,12.95
,-4.8
,-12.2
,7.5
,-1.7
,6.35
,-9.25
,-19.2
,-9.35
,-28.2
,-45.85
,-22.95
,-50.4
,-43.75
,-42.1
,-88.85
,-97.2
,-24.45
,-41.5
,-64.95
,-72.35
,-77.45
,-92.85
,-105.0
,-108.75
,-93.8
,-101.8
,-118.75
,-138.55
,-116.7
,-113.0
,-117.95
,-143.15
,-138.45
,-133.15
,-132.05
,-178.1
,-161.2
,-134.25
,-160.15
,-165.2
,-149.75
,-186.1
,-203.3
,-174.7
,-173.1
,-182.9
,-211.7
,-208.7
,-186.2
,-199.2
,-193.85
,-215.05
,-233.8
,-204.15
,-219.05
,-241.05
,-216.05
,-232.15
,-245.0
,-238.9
,-246.9
,-270.3
,-245.65
,-261.05
,-250.1
,-245.6
,-269.3
,-274.95
,-252.65
,-289.9
,-295.8
,-273.85
,-274.25
,-308.2
,-282.65
,-275.9
,-294.45
,-305.0
,-310.75
,-333.75
,-317.7
,-309.4
,-291.7
,-292.75
,-310.9
,-347.35
,-330.0
,-331.95
,-342.25
,-346.45
,-337.2
,-336.2
,-353.2
,-346.15
,-326.5
,-349.35
,-364.5
,-359.5
,-339.2
,-356.6
,-375.6
,-367.1
,-350.7
,-371.95
,-381.3
,-382.25
,-377.4
,-363.65
,-378.45
,-401.35
,-375.45
,-371.6
,-382.2
,-392.0
,-384.4
,-405.05
,-415.85
,-399.35
,-375.85
,-388.0
,-419.55
,-423.8
,-407.8
,-419.35
,-406.65
,-412.95
,-422.2
,-416.1
,-393.95
,-413.6
,-419.25
,-447.95
,-446.6
,-435.1
,-426.55
,-433.9
,-441.75
,-447.1
,-431.95
,-438.65
,-470.35
,-473.1
,-443.4
,-439.5
,-449.3
,-468.6
,-463.85
,-473.1
,-443.4
,-429.0
,-461.35
,-479.85
,-447.6
,-444.9
,-465.85
,-437.5
,-457.45
,-498.7
,-437.2
,-423.7
,-456.1
,-475.85
,-459.45
,-465.95
,-475.5
,-475.1
,-472.8
,-464.1
,-464.85
,-466.65
,-481.75
,-494.05
,-486.85
,-482.55
,-477.75
,-497.75
,-494.5
,-497.45
,-483.75
,-483.2
,-506.2
,-496.95
,-479.3
,-510.65
,-523.5
,-494.9
,-512.25
,-507.05
,-475.0
,-493.9
,-529.4
,-506.2
,-480.05
,-486.55
,-492.55
,-503.8
,-533.55
,-522.3
,-500.85
,-499.75
,-501.45
,-503.15
,-511.45
,-514.0
,-505.15
,-507.05
,-502.75
,-511.55
,-504.1
,-516.1
,-530.65
,-502.5
,-502.65
,-519.8
,-523.85
,-499.15
,-487.8
,-499.4
,-502.95
,-502.05
,-496.95
,-522.35
,-509.25
,-498.85
,-512.95
,-553.45
,-553.65
,-533.95
,-447.35
,-437.2
,-446.9
,-461.6
,-449.1
,-461.05
,-454.4
,-433.75
,-456.9
,-450.45
,-459.95
,-440.5
,-457.85
,-495.35
,-501.45
,-410.9
,-408.65
,-403.65
,-416.1
,-391.95
,-404.05
,-396.35
,-386.45
,-364.75
,-380.65
,-362.85
,-240.05
,-265.45
,-329.3
,-236.3
,-157.6
,-246.05
,-282.6
,-312.1
,-360.0
,-410.4
,-453.55
,-475.25
,-488.55
,-521.35
,-523.8
,-581.6
,-678.55
,-669.2
,-682.45
,-730.4
,-726.65
,-767.35
,-789.6
,-810.6
,-810.5
,-797.45
,-735.85
,-736.15
,-734.6
,-689.7
,-707.35
,-707.4
,-670.45
,-711.4
,-684.2
,-572.55
,-631.95
,-696.05
,-616.3
,-620.75
,-648.8
,-627.3
,-648.25
,-672.5
,-635.3
,-637.9
,-628.7
,-631.75
,-637.45
,-638.8
,-603.4
,-633.2
,-640.05
,-652.3
,-659.05
,-732.9
,-756.4
,-791.25
,-841.15
,-964.15
,-1075.65
,-1232.7
,-1376.75
,-1384.6
,-1370.3
,-1382.25
,-1377.85
,-1376.25
,-1380.9
,-1377.9
,-1377.5
,-1380.5
,-1377.1
,-1379.4
,-1378.85
,-1378.25
,-1378.05
,-1380.3
,-1376.4
,-1380.9
,-1376.65
,-1379.85
,-1377.85
,-1379.9
,-1376.8
,-1381.2
,-1376.15
